                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6974,                 4.5406,                 1.5411,                0.00239,                0.67188,                0.04267,                0.01867,                      0,                    inf,                      0,                 0.0883,                 0.0013,                 0.0013
                      1,                 1.4322,                 3.5509,                 1.2682,                0.00283,                0.79688,                0.32104,                0.20296,                      0,                    inf,                      0,               0.075433,              0.0024327,              0.0024327
                      2,                 1.5155,                 2.4576,                 1.3668,                0.00322,                0.90625,                0.50305,                0.26742,                      0,                    inf,                      0,               0.062288,              0.0032882,              0.0032882
                      3,                 1.5793,                 2.1418,                 1.3065,                0.00283,                0.79688,                 0.4246,                0.21427,                      0,                    inf,                      0,               0.048867,              0.0038665,              0.0038665
                      4,                 1.4525,                   1.78,                 1.2172,                0.97678,                 0.3125,                0.63639,                0.34439,                      0,                    inf,                      0,               0.035168,              0.0041676,              0.0041676
                      5,                 1.4875,                 1.8159,                 1.2236,                      1,                0.27238,                 0.7052,                0.36632,                      0,                    inf,                      0,               0.021192,              0.0041915,              0.0041915
                      6,                 1.4211,                 1.6322,                 1.2587,                0.75702,                0.43813,                0.62855,                0.34945,                      0,                    inf,                      0,              0.0069382,              0.0039382,              0.0039382
                      7,                 1.4451,                 1.6199,                   1.26,                0.76046,                0.59526,                0.72639,                0.40978,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                      8,                 1.5081,                 1.5887,                 1.3412,                0.86395,                0.69463,                0.80172,                0.43124,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                      9,                 1.4616,                 1.5699,                 1.3038,                0.88518,                 0.7228,                0.82272,                0.44566,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
